Scenario: Pedestrian on Main Lane, Priority: 3, Total Wait Time for Pedestrian: 45.00 seconds
Scenario: Pedestrian on Diversion Lane, Priority: 4, Total Wait Time for Pedestrian: 45.00 seconds
